PM_I21521+0537 ,   328.04339600,     5.62664080, y,  11.6
PM_I22018+1628 ,   330.45431519,    16.46743011, 1,  10.1
LSPM_J2214+2534,   333.57358300,    25.56850000, y,  13.9
PM_I22173-0848N,   334.32916260,    -8.80338955, 1,  10.9
PM_I23174+1936 ,   349.36721802,    19.61297417, y,  11.4
PM_I23209-0147 ,   350.24032593,    -1.79368997, y,  13.1
PM_I23293+4127 ,   352.34414673,    41.46450043, y,  10.5
231939.56+42150,   349.91482544,    42.25272369,Cal, 8.5
232557.77+45230,   351.49069214,    45.38486099,Cal, 8.1
PM_I23350+0136 ,   353.75112915,     1.60539901, 1,   8.8
PM_I23455-1610 ,   356.38031006,   -16.17216873, 1,  13.7
235555.13-13212,   358.97970581,   -13.35661125,Cal, 12.6
J23570417-03375,   359.26739502,    -3.63219476, y,  14.5
PM_I23587+4643 ,   359.68115234,    46.72915268, 1,   9.4
233758.19+46115,   354.49246216,    46.19947433,Cal, 6.2
234105.55+46130,   355.27310181,    46.21833420,Cal, 6.7
